,fecha,estacion,año,mes,festivo,dia_semana,clima,temperatura,humedad,viento,casual,casual_box,laboral_no,laboral_sí
60,2018-02-03,0.0,0,0,1,0.0,2,-0.5152671755725192,-0.8503605769230771,1.2878787878787883,231,14.315690657359912,1.0,0.0
61,2018-03-03,0.0,0,2,1,0.0,2,-0.9427480916030535,-1.4849759615384617,0.4545454545454546,123,11.18654214701248,1.0,0.0
62,2018-04-03,1.5,0,2,1,0.5,1,-0.7442748091603054,-0.08112980769230771,0.2272727272727273,214,13.902538463881976,0.0,1.0
63,2018-05-03,1.5,0,3,1,0.0,1,-0.3549618320610686,0.7794471153846158,0.7272727272727272,640,20.878136039229112,0.0,1.0
64,2018-06-03,1.5,0,3,1,0.5,1,-0.38549618320610685,1.5438701923076923,1.6515151515151516,114,10.849186050854563,1.0,0.0
65,2018-07-03,2.0,0,3,1,0.5,2,-0.7442748091603054,-0.36478365384615385,1.6363636363636362,244,14.617725669338434,0.0,1.0
66,2018-08-03,2.0,0,3,1,0.0,2,-0.6450381679389313,-0.989783653846154,-0.6060606060606061,316,16.11606027693521,0.0,1.0
67,2018-09-03,2.0,0,2,0,1.0,1,-0.6374045801526719,0.7121394230769231,0.4090909090909093,191,13.305954590260024,1.0,0.0
68,2018-10-03,1.0,0,2,1,0.0,0,-0.33969465648854963,-0.0018028846153843423,0.8181818181818182,46,7.381892995634633,0.0,1.0
69,2018-11-03,1.0,0,1,1,0.0,1,-0.5687022900763359,0.11117788461538464,0.5303030303030303,247,14.685846444919225,1.0,0.0
70,2018-12-03,1.0,0,0,1,1.0,2,-0.5305343511450382,-0.15324519230769232,0.4090909090909093,724,21.823415468803315,0.0,1.0
71,2018-03-13,0.0,0,2,1,0.5,2,-0.3549618320610686,-0.48016826923076916,0.9090909090909094,982,24.321990640981856,0.0,1.0
72,2018-03-14,0.0,0,2,1,0.0,2,-0.5458015267175572,-0.6243990384615384,-0.43939393939393945,359,16.9011111232223,0.0,1.0
73,2018-03-15,0.0,0,2,1,0.0,1,-0.5687022900763359,0.1400240384615382,0.030303030303030467,289,15.58478185335383,0.0,1.0
74,2018-03-16,0.0,0,2,1,0.0,1,-0.41603053435114506,0.7217548076923079,0.2272727272727273,321,16.210983104181313,0.0,1.0
75,2018-03-17,0.0,0,2,1,0.0,2,-0.2633587786259542,-0.114783653846154,0.28787878787878796,424,17.973243623206308,1.0,0.0
76,2018-03-18,0.0,0,2,1,0.5,2,0.12595419847328262,-0.4897836538461539,0.5151515151515152,884,23.433170234919448,1.0,0.0
77,2018-03-19,0.0,0,2,1,1.0,2,-0.08015267175572525,-1.191706730769231,1.9090909090909092,1424,27.708343554187053,0.0,1.0
78,2018-03-20,1.5,0,2,1,0.5,2,-0.5229007633587787,-0.7349759615384617,0.2727272727272729,1047,24.878330892130574,0.0,1.0
79,2018-03-21,1.5,0,2,1,0.0,1,-0.2175572519083968,0.5294471153846156,1.090909090909091,401,17.607699123024148,0.0,1.0
80,2018-03-22,1.5,0,2,1,0.0,2,-0.1793893129770991,-0.009014423076923078,0.4545454545454546,460,18.518946950150156,0.0,1.0
81,2018-03-23,1.5,0,2,1,0.0,1,-0.47709923664122145,1.0246394230769231,0.5454545454545454,203,13.62302568669851,0.0,1.0
82,2018-03-24,1.5,0,2,1,0.0,1,-0.66793893129771,0.8611778846153845,0.6363636363636366,166,12.598486559209865,1.0,0.0
83,2018-03-25,1.5,0,2,1,0.5,2,-0.7366412213740459,-0.6340144230769231,0.5151515151515152,300,15.805185520768887,1.0,0.0
84,2018-03-26,1.5,0,2,1,1.0,2,-0.7290076335877863,-1.1195913461538465,0.28787878787878796,981,24.313236396031318,0.0,1.0
85,2018-03-27,1.5,0,2,1,0.5,1,-0.767175572519084,-0.6388221153846155,0.030303030303030467,472,18.69430098058313,0.0,1.0
86,2018-03-28,1.5,0,2,1,0.0,2,-0.7366412213740459,-1.5618990384615385,0.3181818181818181,222,14.099671681576467,0.0,1.0
87,2018-03-29,1.5,0,2,1,0.0,2,-0.6145038167938931,-1.504206730769231,0.46969696969696967,317,16.13512705387941,0.0,1.0
88,2018-03-30,1.5,0,2,1,0.0,1,-0.6221374045801527,0.09675480769230785,-0.07575757575757576,168,12.657680730933635,0.0,1.0
89,2018-03-31,1.5,0,2,1,0.0,0,-0.7213740458015268,1.3996394230769231,0.3787878787878788,179,12.974869300592166,1.0,0.0
90,2018-01-04,0.0,0,0,1,0.0,1,-0.6221374045801527,0.28425480769230743,0.7878787878787881,307,15.94256261710444,0.0,1.0
91,2018-02-04,0.0,0,0,1,0.5,1,-0.5763358778625954,0.13040865384615413,0.16666666666666663,898,23.564163083803322,1.0,0.0
92,2018-03-04,0.0,0,2,1,0.5,2,-0.37786259541984735,-0.7061298076923078,0.015151515151515098,1651,29.16929839228544,1.0,0.0
93,2018-04-04,1.5,0,2,1,0.0,2,0.2328244274809161,-0.9657451923076924,2.075757575757576,734,21.93082900637837,0.0,1.0
94,2018-05-04,1.5,0,3,1,0.0,1,-0.2633587786259542,0.0727163461538463,2.1060606060606064,167,12.628144592995481,0.0,1.0
95,2018-06-04,1.5,0,3,1,1.0,2,-0.33969465648854963,-0.7493990384615385,0.8333333333333336,413,17.80016603614257,0.0,1.0
96,2018-07-04,2.0,0,3,0,0.0,2,-0.1946564885496184,-0.114783653846154,-0.1818181818181817,571,20.035534833697966,1.0,0.0
97,2018-08-04,2.0,0,3,1,0.0,1,-0.5076335877862596,1.0054086538461537,0.46969696969696967,172,12.774630478140502,1.0,0.0
98,2018-09-04,2.0,0,2,1,0.5,1,-0.4923664122137405,1.2073317307692308,-0.48484848484848475,879,23.386041372438253,0.0,1.0
99,2018-10-04,1.0,0,2,1,0.0,1,-0.22519083969465647,1.1111778846153846,-0.34848484848484834,1188,26.008155426024892,0.0,1.0
100,2018-11-04,1.0,0,1,1,0.5,1,0.3015267175572519,0.43329326923076944,1.4545454545454546,855,23.15721931162996,1.0,0.0
101,2018-12-04,1.0,0,0,1,0.5,1,0.011450381679389478,0.5390625000000003,0.9545454545454545,257,14.908886343035926,0.0,1.0
102,2018-04-13,1.5,0,2,1,0.0,1,-0.27099236641221386,0.923677884615385,0.7121212121212123,209,13.776742994638964,0.0,1.0
103,2018-04-14,1.5,0,2,1,0.0,2,-0.0954198473282443,-0.4176682692307693,-0.712121212121212,529,19.487778018067797,1.0,0.0
104,2018-04-15,1.5,0,2,1,0.5,2,-0.16412213740458007,0.21213942307692282,0.46969696969696967,642,20.901605955828177,1.0,0.0
105,2018-04-16,1.5,0,2,0,1.0,0,-0.20992366412213745,1.255408653846154,1.6212121212121215,121,11.113079627784426,1.0,0.0
106,2018-04-17,1.5,0,2,1,0.5,2,-0.133587786259542,-0.7061298076923078,1.2424242424242427,1558,28.58858128567913,0.0,1.0
107,2018-04-18,1.5,0,2,1,0.0,2,0.041984732824427544,-0.4080528846153845,-0.16666666666666663,669,21.213637959840895,0.0,1.0
108,2018-04-19,1.5,0,2,1,0.0,1,0.01908396946564886,0.1881009615384613,-0.2272727272727273,409,17.736442885382754,0.0,1.0
109,2018-04-20,1.5,0,2,1,0.0,2,0.3015267175572519,-0.06189903846153854,0.6212121212121212,613,20.556237775730427,0.0,1.0
110,2018-04-21,1.5,0,2,1,0.0,2,-0.12595419847328235,-1.0570913461538463,1.46969696969697,745,22.04782764273909,1.0,0.0
111,2018-04-22,1.5,0,2,1,0.5,1,-0.5076335877862596,0.4957932692307693,0.3939393939393939,177,12.918216096564484,1.0,0.0
112,2018-04-23,1.5,0,2,1,1.0,1,-0.11832061068702297,1.255408653846154,0.5151515151515152,1462,27.963553673036312,0.0,1.0
113,2018-04-24,1.5,0,2,1,0.5,1,0.2557251908396948,0.885216346153846,0.12121212121212133,1710,29.526131634148914,0.0,1.0
114,2018-04-25,1.5,0,2,1,0.0,2,0.33969465648854963,0.7217548076923079,0.04545454545454557,773,22.340374629654924,0.0,1.0
115,2018-04-26,1.5,0,2,1,0.0,2,0.41603053435114506,0.49098557692307726,1.4848484848484849,678,21.315721154148726,0.0,1.0
116,2018-04-27,1.5,0,2,1,0.0,1,0.37786259541984735,1.0006009615384617,1.3333333333333333,547,19.72606550290835,0.0,1.0
117,2018-04-28,1.5,0,2,1,0.0,1,0.37022900763358796,0.35637019230769207,1.4242424242424243,569,20.010091317337185,1.0,0.0
118,2018-04-29,1.5,0,2,1,0.5,2,0.03435114503816789,-0.8167067307692307,0.6060606060606064,878,23.37659348724463,1.0,0.0
119,2018-04-30,1.5,0,2,1,1.0,2,-0.08015267175572525,-0.5955528846153848,0.5606060606060608,1965,30.977756760975808,0.0,1.0
120,2018-01-05,0.0,0,0,1,0.0,1,-0.14885496183206104,0.6496394230769234,-0.7575757575757576,1138,25.618621813127508,0.0,1.0
121,2018-02-05,0.0,0,0,1,1.0,1,0.15648854961832068,0.4957932692307693,0.030303030303030467,847,23.07996436975643,0.0,1.0
122,2018-03-05,0.0,0,2,1,1.0,1,0.37022900763358796,0.33713942307692324,1.6515151515151516,603,20.43454220089376,0.0,1.0
123,2018-04-05,1.5,0,2,1,0.0,1,-0.2633587786259542,0.5294471153846156,1.5000000000000002,255,14.86476215878075,0.0,1.0
124,2018-05-05,1.5,0,3,1,0.0,2,-0.12595419847328235,-0.879206730769231,1.166666666666667,614,20.568332033916427,1.0,0.0
125,2018-06-05,1.5,0,3,1,0.5,2,-0.06488549618320595,-0.17728365384615388,0.48484848484848503,894,23.526880736789884,0.0,1.0
126,2018-07-05,2.0,0,3,1,0.0,2,0.06488549618320623,-0.4128605769230769,-0.19696969696969682,1612,28.928583447893377,0.0,1.0
127,2018-08-05,2.0,0,3,1,0.5,2,0.0954198473282443,0.02463942307692322,-1.0757575757575757,1401,27.5515911082642,1.0,0.0
128,2018-09-05,2.0,0,2,1,0.0,2,0.10305343511450395,-0.18209134615384626,-0.045454545454545296,664,21.156516411517668,0.0,1.0
129,2018-10-05,1.0,0,2,1,0.0,2,0.10305343511450395,-0.6628605769230771,-0.6666666666666666,694,21.494924611628708,0.0,1.0
130,2018-11-05,1.0,0,1,1,1.0,2,0.133587786259542,0.029447115384615252,-0.6060606060606061,550,19.76525354547011,0.0,1.0
131,2018-12-05,1.0,0,0,1,0.0,2,0.11068702290076332,0.5823317307692307,0.09090909090909086,695,21.506030073972326,0.0,1.0
132,2018-05-13,1.5,0,3,1,0.5,1,0.041984732824427544,1.1352163461538463,-0.015151515151515098,692,21.47268062563507,1.0,0.0
133,2018-05-14,1.5,0,3,1,1.0,1,0.0725190839694656,1.4188701923076927,-0.46969696969696967,902,23.60133138554311,0.0,1.0
134,2018-05-15,1.5,0,3,1,0.5,1,0.20229007633587806,1.1544471153846156,-0.28787878787878796,1582,28.74067805063033,0.0,1.0
135,2018-05-16,1.5,0,3,1,0.0,2,0.24809160305343517,0.774639423076923,-0.5454545454545454,773,22.340374629654924,0.0,1.0
136,2018-05-17,1.5,0,3,1,0.0,1,0.1946564885496184,1.0150240384615385,0.9848484848484852,678,21.315721154148726,0.0,1.0
137,2018-05-18,1.5,0,3,1,0.0,1,0.16412213740458034,1.1688701923076925,0.21212121212121218,536,19.581098342670106,0.0,1.0
138,2018-05-19,1.5,0,3,1,0.0,1,0.10305343511450395,0.9765625000000001,-0.7272727272727273,735,21.9415148787925,1.0,0.0
139,2018-05-20,1.5,0,3,1,0.5,2,0.11832061068702297,0.4477163461538462,-0.5606060606060606,909,23.666104049985695,1.0,0.0
140,2018-05-21,1.5,0,3,1,1.0,2,0.3244274809160306,0.0006009615384616752,-0.6060606060606061,2258,32.493635611282336,0.0,1.0
141,2018-05-22,1.5,0,3,1,0.5,2,0.33206106870229024,0.5919471153846154,-0.33333333333333326,1576,28.702803458400076,0.0,1.0
142,2018-05-23,1.5,0,3,1,0.0,1,0.41603053435114506,0.880408653846154,0.5454545454545454,836,22.97291503758539,0.0,1.0
143,2018-05-24,1.5,0,3,1,0.0,1,0.5076335877862598,0.5486778846153845,0.2727272727272729,659,21.099098252983737,0.0,1.0
144,2018-05-25,1.5,0,3,1,0.0,2,0.5076335877862598,0.33233173076923056,-0.2727272727272726,740,21.99479477611133,0.0,1.0
145,2018-05-26,1.5,0,3,1,0.0,2,0.652671755725191,0.24579326923076913,0.1969696969696971,758,22.18457688355613,1.0,0.0
146,2018-05-27,1.5,0,3,1,0.5,2,0.5687022900763359,0.13040865384615413,0.6060606060606064,871,23.31025017876754,1.0,0.0
147,2018-05-28,1.5,0,3,0,1.0,2,0.4923664122137405,0.4957932692307693,0.5000000000000001,2001,31.17204917865058,1.0,0.0
148,2018-05-29,1.5,0,3,1,0.5,2,0.5305343511450382,0.923677884615385,0.33333333333333354,2355,32.96549803081797,0.0,1.0
149,2018-05-30,1.5,0,3,1,0.0,2,0.7366412213740461,0.2794471153846154,-0.4999999999999999,1549,28.531129586722557,0.0,1.0
150,2018-05-31,1.5,0,3,1,0.0,2,0.8664122137404583,0.04867788461538476,-0.6969696969696969,673,21.259124149551536,0.0,1.0
151,2018-01-06,0.0,0,0,1,0.0,1,0.8282442748091605,0.2409855769230771,0.2727272727272729,513,19.27123914108854,1.0,0.0
152,2018-02-06,0.0,0,0,1,0.5,2,0.6755725190839696,-1.5474759615384617,1.1363636363636367,736,21.95219075642757,0.0,1.0
153,2018-03-06,0.0,0,2,1,0.5,2,0.37786259541984735,-1.3118990384615388,0.7424242424242425,898,23.564163083803322,0.0,1.0
154,2018-04-06,1.5,0,2,1,0.0,2,0.42366412213740473,-0.8215144230769231,-0.5757575757575756,1869,30.447383980762666,0.0,1.0
155,2018-05-06,1.5,0,3,1,0.5,1,0.46946564885496206,0.12079326923076938,-0.4242424242424241,1685,29.375981589315845,1.0,0.0
156,2018-06-06,1.5,0,3,1,0.0,2,0.5610687022900765,-0.12920673076923078,-0.5909090909090909,673,21.259124149551536,0.0,1.0
157,2018-07-06,2.0,0,3,1,0.0,2,0.652671755725191,-0.13882211538461553,0.07575757575757576,763,22.23674320123708,0.0,1.0
158,2018-08-06,2.0,0,3,1,1.0,2,0.8664122137404583,-0.023437499999999868,-0.43939393939393945,676,21.293116913858686,0.0,1.0
159,2018-09-06,2.0,0,2,1,0.0,1,0.9656488549618324,-0.2830528846153848,-0.3181818181818181,563,19.93338978663585,0.0,1.0
160,2018-10-06,1.0,0,2,1,0.0,2,0.8053435114503819,-0.10516826923076925,-0.409090909090909,815,22.76582715788465,1.0,0.0
161,2018-11-06,1.0,0,1,1,0.5,2,0.7061068702290078,0.13521634615384617,-0.25757575757575746,1729,29.639238949011897,0.0,1.0
162,2018-12-06,1.0,0,0,1,0.0,2,0.6068702290076337,0.5823317307692307,-0.16666666666666663,1467,27.99679300534768,0.0,1.0
163,2018-06-13,1.5,0,3,1,0.0,2,0.42366412213740473,-0.6340144230769231,1.272727272727273,863,23.23397867152947,0.0,1.0
164,2018-06-14,1.5,0,3,1,0.0,2,0.33206106870229024,-0.5763221153846153,0.893939393939394,727,21.855746103559362,0.0,1.0
165,2018-06-15,1.5,0,3,1,0.0,2,0.400763358778626,-0.7445913461538461,-0.12121212121212106,769,22.299033346837522,0.0,1.0
166,2018-06-16,1.5,0,3,1,0.0,1,0.4083969465648857,0.29387019230769224,0.25757575757575774,545,19.69985794668522,1.0,0.0
167,2018-06-17,1.5,0,3,1,0.5,2,0.46946564885496206,0.5246394230769229,-0.3787878787878788,863,23.23397867152947,1.0,0.0
168,2018-06-18,1.5,0,3,1,1.0,2,0.622137404580153,0.2073317307692308,-0.6212121212121212,1807,30.094815653023783,0.0,1.0
169,2018-06-19,1.5,0,3,1,0.5,1,0.6297709923664123,0.19290865384615402,-0.8030303030303031,1639,29.095652701514325,0.0,1.0
170,2018-06-20,1.5,0,3,1,0.0,1,0.42366412213740473,0.5727163461538459,-0.25757575757575746,699,21.550342341443788,0.0,1.0
171,2018-06-21,2.0,0,3,1,0.0,1,0.5687022900763359,0.6881009615384617,-0.09090909090909086,774,22.350686951070003,0.0,1.0
172,2018-06-22,2.0,0,3,1,0.0,2,0.7366412213740461,0.3900240384615384,-0.09090909090909086,661,21.12210135161918,0.0,1.0
173,2018-06-23,2.0,0,3,1,0.0,1,0.7213740458015268,0.3659855769230768,0.5909090909090909,746,22.058404818947725,1.0,0.0
174,2018-06-24,2.0,0,3,1,0.5,2,0.7061068702290078,-0.25901442307692324,0.42424242424242437,969,24.207703504518356,1.0,0.0
175,2018-06-25,2.0,0,3,1,1.0,2,0.6145038167938933,-0.691706730769231,0.28787878787878796,1782,29.950296245874263,0.0,1.0
176,2018-06-26,2.0,0,3,1,0.5,2,0.5687022900763359,-0.5474759615384618,-0.8787878787878788,1920,30.73141732555984,0.0,1.0
177,2018-06-27,2.0,0,3,1,0.0,1,0.5763358778625955,0.14963942307692296,-0.7424242424242424,854,23.147589706663297,0.0,1.0
178,2018-06-28,2.0,0,3,1,0.0,2,0.7671755725190842,0.034254807692307626,-0.3636363636363637,732,21.909427185155987,0.0,1.0
179,2018-06-29,2.0,0,3,1,0.0,2,0.7213740458015268,-0.6195913461538464,0.8181818181818182,848,23.089648608613867,0.0,1.0
180,2018-06-30,2.0,0,3,1,0.0,2,0.622137404580153,-0.9272836538461541,0.04545454545454557,1027,24.709743019528393,1.0,0.0
181,2018-01-07,0.0,0,0,1,0.5,2,0.6984732824427484,-1.1099759615384617,-0.7878787878787878,1246,26.446136106214603,1.0,0.0
182,2018-02-07,0.0,0,0,1,0.0,2,0.7519083969465651,-0.8743990384615385,-0.6666666666666666,2204,32.22488234448447,0.0,1.0
183,2018-03-07,0.0,0,2,1,0.0,1,0.6832061068702291,0.26502403846153866,0.48484848484848503,2282,32.61166354316713,0.0,1.0
184,2018-04-07,1.5,0,2,1,0.0,1,0.7137404580152674,0.053485576923076796,-1.0,3065,36.066919133878656,1.0,0.0
185,2018-05-07,1.5,0,3,1,1.0,2,0.7748091603053437,-0.17728365384615388,-0.5454545454545454,1031,24.74364008620471,0.0,1.0
186,2018-06-07,1.5,0,3,1,0.0,2,0.6908396946564888,0.5582932692307692,-0.3181818181818181,784,22.453309654794126,0.0,1.0
187,2018-07-07,2.0,0,3,1,0.0,2,0.7900763358778629,0.11598557692307666,-0.21212121212121218,754,22.14267316490687,1.0,0.0
188,2018-08-07,2.0,0,3,1,0.5,1,0.6603053435114506,0.6304086538461537,0.4545454545454546,692,21.47268062563507,0.0,1.0
189,2018-09-07,2.0,0,2,1,0.0,2,0.7366412213740461,-0.08593750000000008,-0.12121212121212106,1988,31.102167485808735,0.0,1.0
190,2018-10-07,1.0,0,2,1,0.5,2,0.7748091603053437,-0.2349759615384617,0.030303030303030467,1743,29.722035320925922,1.0,0.0
191,2018-11-07,1.0,0,1,1,0.0,2,0.8282442748091605,0.04387019230769238,1.0303030303030303,723,21.812618117501934,0.0,1.0
192,2018-12-07,1.0,0,0,1,0.0,2,0.9274809160305346,-0.3263221153846155,0.1969696969696971,662,21.133584952861575,0.0,1.0
193,2018-07-13,2.0,0,3,1,0.0,2,0.7748091603053437,0.02463942307692322,-0.34848484848484834,748,22.079529951469855,0.0,1.0
